business_name,city,county,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
Spokane Detailing Master,Spokane Valley,Spokane,,,+1 253-303-2294,"Owner-operated mobile detailer; appointment-only shop/mobile model creates booking and follow-up opportunity",auto_detailing,BRIDGE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Blossom Auto Detailing,Spokane,Spokane,,,+1 509-505-9157,"Mobile detailing service with 24-hour availability; phone-led intake creates missed-call and booking follow-up opportunity",auto_detailing,STAN,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Fortify Mobile Detailing,Bellingham,Whatcom,,,+1 360-223-5958,"Small mobile auto/RV detailer serving Western Whatcom; mobile appointment intake creates quote and follow-up opportunity",auto_detailing,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Junk-N-Dump: Trash Hauling & Junk Removal,Spokane,Spokane,,,+1 509-327-2562,"Locally owned junk removal company with scheduling by direct contact; quote-to-booking follow-up opportunity",junk_removal,BRIDGE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Hauling Service LLC,Spokane,Spokane,,,+1 509-842-3050,"Locally owned 24-hour hauling company; phone-led quotes create missed-call and estimate follow-up exposure",junk_removal,STAN,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Bellingham Junk Removal Service,Bellingham,Whatcom,,,+1 360-599-7473,"Locally owned junk hauler serving Whatcom and Skagit; fast scheduling model creates speed-to-lead and follow-up opportunity",junk_removal,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
The Bright Side,Spokane,Spokane,,,+1 509-464-9461,"Local exterior cleaner offering multiple quote-driven services; direct-call intake creates estimate follow-up opportunity",pressure_washing,BRIDGE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Pure Shine Window Cleaning,Bellingham,Whatcom,,,+1 360-543-4603,"Locally owned exterior cleaner with pressure/soft washing and 24-hour contact availability; quote follow-up opportunity",pressure_washing,STAN,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
A1 Stump Removal & Tree Service,Spokane,Spokane,,,+1 509-768-4804,"Local tree/stump specialist with project-specific estimates; phone-led intake creates estimate follow-up opportunity",tree_service,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Advanced Arborists Tree Service,Spokane Valley,Spokane,,,+1 509-999-8603,"Owner-operated tree service; project estimates and emergency work create speed-to-lead and follow-up opportunity",tree_service,BRIDGE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Bellingham Garage Door Repair LLC,Bellingham,Whatcom,,,+1 360-594-2279,"Local owner-operated garage-door company; repair quote and scheduling intake creates missed-call/follow-up opportunity",garage_door,STAN,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Berry Garage Door Company,Bellingham,Whatcom,,,+1 360-671-5121,"Local garage-door repair/install provider with weekday phone intake; repair and replacement inquiries create follow-up opportunity",garage_door,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
