business_name,city,county,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
Rainier Detailing,Redmond,King,https://www.rainierdetailing.com/,rainierdetailing@gmail.com,+1 360-436-6487,"Mobile detailing across the Eastside/Seattle metro with free-quote and scheduling CTAs; quote-to-booking follow-up is a concrete conversion opportunity",auto_detailing,STAN,QUALIFIED,NOT_CONTACTED,https://www.rainierdetailing.com/,2026-09-19
Seal Detail,Seattle,King,https://sealdetailing.com/,sealdetail@gmail.com,+1 206-791-7743,"Mobile detailing with instant booking plus custom quote intake; custom-quote leads create measurable follow-up and booking-conversion opportunity",auto_detailing,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,https://sealdetailing.com/,2026-09-19
Sumacc Mobile Car Detailing,Seattle,King,https://sumacccarwash.com/,sumaccbellevue@gmail.com,+1 425-876-1729,"Mobile detailer using package booking and phone intake across Seattle/Eastside; abandoned booking and direct-call follow-up are concrete conversion opportunities",auto_detailing,BRIDGE,QUALIFIED,NOT_CONTACTED,https://sumacccarwash.com/,2026-09-19
Alex's Mobile Car Detailing,Everett,Snohomish,https://www.alexmobilecardetailing.com/,dafredrickson8888@gmail.com,+1 425-404-9110,"Mobile detailer serving Snohomish and King County with appointment-based facility option; direct phone/email scheduling creates missed-contact follow-up opportunity",auto_detailing,STAN,QUALIFIED,NOT_CONTACTED,https://www.alexmobilecardetailing.com/,2026-09-19
U Junk It We Dump It,Seattle,King,https://www.ujunkitwedumpit.info/,ujunkitseattle@gmail.com,+1 206-673-6122,"Local Seattle junk hauler with call/text/email and web pickup form; same-day demand makes speed-to-lead and unclosed inquiry follow-up valuable",junk_removal,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,https://www.ujunkitwedumpit.info/contact-us,2026-09-19
Rapid Haul Away,Bonney Lake,Pierce,https://www.rapidhaulawayjunkremoval.com/,RapidHaulAway@gmail.com,+1 253-820-6311,"Local junk removal operator publishing direct phone/email quote paths; quote requests create follow-up and booking-conversion opportunity",junk_removal,BRIDGE,QUALIFIED,NOT_CONTACTED,https://www.rapidhaulawayjunkremoval.com/junk-removal-services-in-bonney-lake-washington,2026-09-19
D&H Services,Seattle,King,https://dhservices1.com/,info@dhservices1.com,+1 206-279-0300,"Seattle junk-removal/cleaning provider relies on direct contact for service conversion; multi-service inquiries create qualification and follow-up opportunity",junk_removal,STAN,QUALIFIED,NOT_CONTACTED,https://dhservices1.com/our-services/,2026-09-19
Brisk Pressure Washing,Olympic Peninsula,,https://briskpressurewashing.com/,Briskpressurewashing@gmail.com,+1 360-461-0791,"Exterior cleaner promises same-day response to free-quote forms; quote intake creates a clear follow-up and booked-job conversion path",pressure_washing,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,https://briskpressurewashing.com/contact/,2026-09-19
Rain City Pressure Washing,Mount Vernon,Skagit,https://www.raincitypressurewashing.com/,Raincitywashers@gmail.com,+1 360-488-5185,"Local exterior cleaner with free-estimate/direct-call intake across Skagit; estimate requests create measurable follow-up opportunity",pressure_washing,BRIDGE,QUALIFIED,NOT_CONTACTED,https://www.raincitypressurewashing.com/,2026-09-19
Sanchez Landscaping & Cleaning,Seattle,King,https://www.sanchezlc.com/,sanchezlandscaping12@gmail.com,+1 206-775-0236,"Independent landscaping/exterior-cleaning operator with phone/email-led pressure-washing intake; multi-service quote requests create qualification and follow-up opportunity",pressure_washing,STAN,QUALIFIED,NOT_CONTACTED,https://www.sanchezlc.com/pressure_wash.php,2026-09-19
Fresh Guard,Tacoma,Pierce,https://gutterfreshguard.com/,gutterfreshguard@gmail.com,+1 253-802-1124,"Exterior-services business uses a free-quote form for pressure washing; form-to-estimate and estimate-to-booking follow-up are concrete conversion opportunities",pressure_washing,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,https://gutterfreshguard.com/pressure-washing,2026-09-19
Tarzan's Tree Service,Carlsborg,Clallam,https://www.tarzanstreecare.com/,tarzansoffice@gmail.com,+1 360-683-7641,"Owner/arborist business publishes direct office/cell/email contact; project and estimate inquiries create missed-contact and follow-up opportunity",tree_service,BRIDGE,QUALIFIED,NOT_CONTACTED,https://www.tarzanstreecare.com/contact,2026-09-19
JMV Professional Tree Service LLC,Ravensdale,King,https://www.jmvtreeservice.com/,jmvprofessionaltreeservice@gmail.com,+1 425-243-8302,"Local tree company with 24-hour emergency service and request-callback intake; urgent and estimate leads make speed-to-lead critical",tree_service,STAN,QUALIFIED,NOT_CONTACTED,https://www.jmvtreeservice.com/contact,2026-09-19
Western Washington Tree Service,Carnation,King,https://www.westwatreeservice.com/,Westwatreeservice@gmail.com,+1 425-800-7673,"Owner-led tree service uses a free-estimate form across King/Snohomish communities; estimate follow-up is a direct conversion opportunity",tree_service,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,https://www.westwatreeservice.com/,2026-09-19
Uribe's Tree Service LLC,Yakima,Yakima,,,+1 509-406-1506,"Local Yakima tree service operating 24 hours with residential/commercial and emergency-style demand; phone-led intake creates missed-call and estimate follow-up exposure",tree_service,BRIDGE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Blake's Garage Door CO,Wenatchee,Chelan,,,+1 509-670-8882,"Local Wenatchee garage-door repair/install provider with strong repair demand; phone-led spring/opener/installation inquiries create speed-to-lead and scheduling follow-up opportunity",garage_door,BRIDGE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
