business_name,county,city,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
"Evergreen Autoshine","Lewis","Chehalis","https://www.evergreenautoshine.com/","evergreenautoshine@gmail.com","+1 360-324-2716","Small locally trusted mobile detailer with online booking plus an explicit follow-up promise; quote/booking follow-up and same-day inquiry handling are concrete conversion points.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"A&M Mobile Auto Detail and Cleaners","Mason","Shelton","","","+1 360-463-1396","Shelton-based mobile detailing operator bringing service to customer locations; appointment intake and missed-call recovery are concrete conversion opportunities.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"LEAUTO Detailing","Lewis","Chehalis","","","+1 360-932-8084","Woman-owned mobile and shop detailing business serving Lewis County; mobile scheduling and customer communication create concrete booking/follow-up opportunities.","mobile/independent auto detailing","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Mason County Clean Outs & Junk Removal","Mason","Shelton","","","+1 360-712-1113","Locally owned owner-involved hauling and cleanout operator; direct inquiry handling and estimate follow-up are concrete conversion points.","junk removal/dumpster rental","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"The Trash Doctor","Grays Harbor","Ocean Shores","","","+1 360-660-6628","Local junk removal/hauling operator with estimate-driven customer coordination; pricing/estimate communication and follow-up are concrete conversion points.","junk removal/dumpster rental","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Pressure Pro Solutions","Lewis","Chehalis","","","+1 360-701-6371","Family-owned exterior-cleaning company with fast-turnaround positioning; service inquiry capture and quote follow-up are concrete conversion points.","pressure washing/exterior cleaning","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Pressure Soft Wash","Grays Harbor","Aberdeen","","","+1 360-347-6541","Locally owned exterior-cleaning company serving Grays Harbor; direct service inquiries and estimate follow-up are concrete conversion opportunities.","pressure washing/exterior cleaning","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Case Pro Wash","Grays Harbor","Montesano","","","+1 360-742-8073","Family-owned exterior-cleaning company with pre/post-work walkthrough model; quote intake and scheduling follow-up are concrete conversion points.","pressure washing/exterior cleaning","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Bonnell Tree Technicians","Grays Harbor","Cosmopolis","","","+1 360-532-8027","Locally owned family-operated tree service with 24-hour availability; urgent-call capture and estimate follow-up are concrete conversion opportunities.","tree service/stump grinding","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"H & M Tree Service","Mason","Shelton","","","+1 360-997-1414","Shelton tree-care and land-clearing company advertising emergency response; urgent-call capture and estimate scheduling are concrete conversion opportunities.","tree service/stump grinding","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"J&L Tree Service Inc","Grays Harbor","Aberdeen","","","+1 360-502-4567","Locally and family-owned tree service with 24-hour availability and fast-turnaround positioning; urgent-call capture and estimate follow-up are concrete conversion points.","tree service/stump grinding","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
