business_name,city,county,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
MK Services,Spokane,Spokane,,,+1 509-979-4848,"Family-owned mobile detailer; phone-led service creates missed-call/follow-up opportunity",auto_detailing,STAN,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Peas In a Pod Mobile Detailing,Blaine,Whatcom,,,+1 360-919-4546,"Mobile detailer; appointment required, creating booking/follow-up conversion opportunity",auto_detailing,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Sasquatch Mobile Detailing LLC,Yakima,Yakima,,,+1 509-969-3053,"Mobile detailer with phone-led intake; observable missed-call/follow-up exposure",auto_detailing,BRIDGE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Clean Up Crew,Richland,Benton,,,+1 844-447-5865,"Locally owned junk removal; free-estimate intake creates quote follow-up opportunity",junk_removal,STAN,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Nathan's Junk Removal & Services,Wenatchee,Chelan,,,+1 509-670-7628,"Local junk hauler with phone-led service; missed-call and estimate follow-up opportunity",junk_removal,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Cowlitz Junk Removal,Longview,Cowlitz,,,+1 564-204-0674,"Owner-operated family business offering same/next-day service; speed-to-lead and missed-call exposure",junk_removal,BRIDGE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Top Left Corner Demolition & Dumpsters,Port Angeles,Clallam,,,+1 360-649-1853,"Locally owned dumpster/junk provider; phone-led project intake creates quote follow-up opportunity",junk_removal,STAN,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Grace Pressure Washing,Spokane,Spokane,,,+1 509-850-7828,"Locally owned; appointment required, creating booking and follow-up opportunity",pressure_washing,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Northwest Power Wash LLC,Yakima,Yakima,,,+1 509-406-4310,"Local exterior cleaner with online estimates; estimate-to-booking follow-up opportunity",pressure_washing,BRIDGE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Majestic Wash Northwest,Marysville,Snohomish,https://majesticwashnorthwest.com/,walter@majesticwashnorthwest.com,+1 425-446-2534,"Free same-day quote model creates high-value quote follow-up/automation opportunity",pressure_washing,STAN,QUALIFIED,NOT_CONTACTED,"https://majesticwashnorthwest.com/",2026-09-19
Pete's Pressure Wash,Everett,Snohomish,https://petespressurewashwa.com/,petepressurewash@gmail.com,+1 425-236-1229,"Owner-led estimate review and booking-request flow creates manual follow-up opportunity",pressure_washing,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,"https://petespressurewashwa.com/",2026-09-19
K.P.R Tree Services,Kennewick,Benton,https://kprtreeservices.com/,kprhernandez.2025@gmail.com,+1 509-578-9016,"Same-day estimates and free-estimate intake create speed-to-lead/follow-up opportunity",tree_service,BRIDGE,QUALIFIED,NOT_CONTACTED,"https://kprtreeservices.com/",2026-09-19
GA Tree and Yard Service,Benton City,Benton,,,+1 509-302-6608,"Small local tree/yard provider; phone-led estimates create missed-call/follow-up opportunity",tree_service,STAN,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Rudy's Tree Service,Pasco,Franklin,,,+1 509-518-4780,"Family-owned and appointment-required; phone/appointment conversion opportunity",tree_service,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
UvalleScapes,East Wenatchee,Douglas,,,+1 509-264-4053,"Small local tree provider; phone-led residential intake creates missed-call/follow-up exposure",tree_service,BRIDGE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Willapa Tree Service,Longview,Cowlitz,,,+1 360-957-9523,"Local tree service with phone-led project intake; quote follow-up opportunity",tree_service,STAN,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Stigall Tree Service,Port Angeles,Clallam,,,+1 360-775-9751,"Local tree company with 24-hour phone availability; missed-call and estimate follow-up opportunity",tree_service,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Angry Beaver Tree Service LLC,Sequim,Clallam,,,+1 360-460-0880,"Owner responds to estimate requests; owner-led intake creates speed-to-lead opportunity",tree_service,BRIDGE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Garage Gecko,Spokane,Spokane,,,+1 509-236-0229,"Locally owned family-operated garage-door company with 24-hour phone service; missed-call routing opportunity",garage_door,STAN,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
All-Star Garage Doors Inc.,Spokane Valley,Spokane,,,+1 509-892-5144,"Family-owned specialist with service-call intake; quote/repair follow-up opportunity",garage_door,CUSTOMER_SERVICE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
Ponderosa Garage Doors Vancouver,Vancouver,Clark,,,+1 360-216-0106,"Owner-led independent garage-door provider offering 24/7 service; missed-call and estimate follow-up opportunity",garage_door,BRIDGE,QUALIFIED,NOT_CONTACTED,"public business listing",2026-09-19
