business_name,county,city,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
"Detail Genius Mobile Detailing","Chelan","Wenatchee","","","+1 206-207-7034","Wenatchee-based mobile and appointment drop-off detailer; mobile scheduling and appointment intake create concrete booking and follow-up opportunities.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Kostenko Detailing LLC","Chelan","Wenatchee","","","+1 509-423-2100","Mobile detailer serving Wenatchee/East Wenatchee with on-site service; direct scheduling and mobile-job intake are concrete conversion points.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Speck Mobile Detailing","Chelan","Wenatchee","","","+1 509-436-0514","Local mobile detailing provider whose reviews emphasize scheduling flexibility and travel-to-customer service; appointment capture and follow-up are concrete conversion points.","mobile/independent auto detailing","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"509 Mobile Car Wash And Detailing","Kittitas","Ellensburg","","","+1 509-260-8503","Locally owned appointment-based mobile detailing service; appointment intake and missed-call recovery are concrete conversion opportunities.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"AutoForever Detailing LLC","Kittitas","Ellensburg","https://www.autoforeverdetailingllc.com/","autoforeverdetailingllc@gmail.com","+1 509-929-4188","Premium mobile detailer with online service booking and quote-oriented RV work; booking abandonment and quote follow-up are concrete conversion opportunities.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Public business website and Google business listing","2026-09-19"
"CR Mobile Detailing","Cowlitz","Longview","","","+1 360-356-4199","Local mobile detailing provider with direct service scheduling; mobile appointment capture and follow-up are concrete conversion points.","mobile/independent auto detailing","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"A&A Junk Removal","Grant","Moses Lake","https://www.junkremovalmoseslake.com/","","+1 509-260-2743","Family-owned local junk-removal company promoting free estimates and fast response; estimate intake and follow-up are concrete conversion points.","junk removal/dumpster rental","STAN","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Lake Town Hauling & Junk Removal","Grant","Moses Lake","https://laketownhauling.com/","timothy_town@hotmail.com","+1 509-570-8325","Local Grant County hauler says callers speak directly with the team and uses a quote form; missed-call recovery and quote follow-up are concrete conversion opportunities.","junk removal/dumpster rental","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Wenatchee Junk Pros & Services","Chelan","Wenatchee","https://www.wenatcheejunkpros.com/","wenatcheejunkpros@gmail.com","+1 509-881-5114","Locally owned junk-removal and demolition provider offering same-day/next-day work and free estimates; fast estimate response and nurture are concrete conversion points.","junk removal/dumpster rental","BRIDGE","QUALIFIED","NOT_CONTACTED","Public business website and Google business listing","2026-09-19"
"Nathan's Junk Removal & Services","Chelan","Wenatchee","https://nathansjunkremovalandservices.com/contact-us","","+1 509-670-7628","Local junk hauling and dumpster/trailer rental provider using phone plus web-form intake; lead capture and quote follow-up are concrete conversion points.","junk removal/dumpster rental","STAN","QUALIFIED","NOT_CONTACTED","Public business website and Google business listing","2026-09-19"
"Cowlitz Junk Removal","Cowlitz","Longview","","","+1 564-204-0674","Locally owned junk hauling and cleanout company with fast-response positioning; direct-call intake and missed-call recovery are concrete conversion points.","junk removal/dumpster rental","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Asnew Exterior Cleaning","Clallam","Port Angeles","","","+1 360-808-9747","Port Angeles exterior-cleaning company serving the Olympic Peninsula; quote and service-request intake create concrete lead-response and follow-up opportunities.","pressure washing/exterior cleaning","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Northwest Power Wash LLC","Yakima","Yakima","","","+1 509-406-4310","Local Yakima exterior-cleaning provider focused on residential/commercial pressure and soft washing; service inquiries and quote follow-up are concrete conversion points.","pressure washing/exterior cleaning","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Blue Mountain Tree Service Inc","Clallam","Port Angeles","https://www.bluemountaintreeservice.com/about-us","bluemountaintree@outlook.com","+1 360-452-7706","Owner-established Olympic Peninsula tree company using phone/email free-quote intake; quote scheduling and follow-up are concrete conversion opportunities.","tree service/stump grinding","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"David Marrs Trees","Kittitas","Ellensburg","","","+1 509-859-1187","Local Ellensburg tree service offering removals, pruning and stump grinding; direct service inquiries and estimate follow-up are concrete conversion points.","tree service/stump grinding","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Sitkum Tree Service","Clallam","Port Angeles","","","+1 360-808-3216","Independent Olympic Peninsula arborist/tree service offering assessments and tree work; assessment requests and estimate follow-up are concrete conversion points.","tree service/stump grinding","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Davis Garage Doors","Kittitas","Ellensburg","https://davisgaragedoorscentralwa.com/","doors@davisgaragedoorscentralwa.com","+1 509-929-3276","Family-owned Central Washington garage-door company using free-quote and phone/email intake, including Sunday by appointment; quote follow-up and missed-call recovery are concrete conversion opportunities.","independent garage-door repair/installation","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Public business website and Google business listing","2026-09-19"
"Upfront Garage Doors LLC","Kittitas","Ellensburg","","","+1 509-859-6865","Locally operated garage-door repair and installation contractor offering 24-hour availability; urgent-call capture and repair/installation follow-up are concrete conversion points.","independent garage-door repair/installation","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
