business_name,county,city,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
"MADISON DETAIL","King","Seattle","","","+1 206-883-2451","Independent detailing shop with only 18 public reviews; structured listing exposes phone but no public email/website, leaving direct-response acquisition opportunity.","mobile/independent auto detailing","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Denhez Details","King","Seattle","https://denhezdetailsllc.com/","remydenhez@denhezdetailsllc.com","+1 206-739-7372","Owner-operated mobile detailer; booking request is confirmed by text rather than instant scheduling, creating booking/follow-up automation opportunity.","mobile/independent auto detailing","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Gibby's Auto Spa","King","Seattle","","","+1 206-271-7903","Independent shop/mobile operator with only 11 public reviews; structured listing surfaced phone but no email/website.","mobile/independent auto detailing","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Universal Junk Removal","Thurston","Olympia","","","+1 360-972-1348","Local junk hauling/dumpster operator; structured listing surfaced phone but no public email/website.","junk removal/dumpster rental","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Olympic Junk Hauling","Thurston","Olympia","https://www.olympicjunkhauling.com/","","+1 360-995-8344","Local family-owned operator serving multiple counties; website relies heavily on call/text and free-estimate CTAs, creating missed-call and automated follow-up opportunity.","junk removal/dumpster rental","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Public business website","2026-09-19"
"Experienced Roof & Gutter Cleaning - Everett","Snohomish","Everett","","","+1 425-800-0036","Local exterior-cleaning operator; structured listing surfaced phone and online estimates but no public email/website.","pressure washing/exterior cleaning","BRIDGE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"PNW Exterior Pros","Snohomish","Lynnwood","","","+1 425-900-4600","Independent exterior-cleaning provider; listing says on-site services unavailable and surfaced no public email/website, leaving lead-capture opportunity.","pressure washing/exterior cleaning","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Paul Bunyan Tree Service","Chelan","Wenatchee","","","+1 509-387-9027","Local tree-care operator; structured listing surfaced phone but no public email/website.","tree service/stump grinding","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Baker's Stump Grinding And Tree Service","Douglas","East Wenatchee","","","+1 509-264-2318","Local mobile stump/tree operator with zero reviews in the structured listing and no public email/website surfaced.","tree service/stump grinding","BRIDGE","QUALIFIED","NOT_CONTACTED","Public business listing via ChatGPT web business search","2026-09-19"
"Kitsap Garage Door","Kitsap","Bremerton","","","+1 360-692-0849","Family-owned garage-door company; listing explicitly reports no online estimates, creating a concrete quote-flow opportunity.","independent garage-door repair/installation","STAN","QUALIFIED","NOT_CONTACTED","Google business listing via ChatGPT web business search","2026-09-19"
"Advanced Door Service","Kitsap","Bremerton","","","+1 360-698-0713","Small owner-led garage-door company with only 8 public reviews; structured listing surfaced phone but no public email/website.","independent garage-door repair/installation","CUSTOMER_SERVICE","QUALIFIED","NOT_CONTACTED","Public business listing via ChatGPT web business search","2026-09-19"
