business_name,city,county,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
Elite Garage Door & Gate Repair,Seattle,King,https://www.elitegaragewa.us/,seattle@elitegaragewa.us,(206) 934-1234,"Public site relies on call/contact intake and advertises extended service hours; opportunity for automated missed-call and inquiry follow-up.",independent garage-door repair/installation,CUSTOMER_SERVICE,qualified,not_contacted,https://www.elitegaragewa.us/,2026-09-20
Western Washington Tree Service,Carnation,King,https://www.westwatreeservice.com/,Westwatreeservice@gmail.com,(425) 800-7673,"Owner-led local tree service uses a multi-field free-estimate form plus phone/email; opportunity to automate estimate response and follow-up.",tree service/stump grinding,BRIDGE,qualified,not_contacted,https://www.westwatreeservice.com/,2026-09-20
Union Garage Door Service,Seattle,King,https://www.uniongaragedoorservices.com/,info@uniongaragedoor.com,(800) 663-8984,"Family-owned operator promises form response within two business hours and offers 24/7 emergency service; measurable response-time and missed-call automation opportunity.",independent garage-door repair/installation,STAN,qualified,not_contacted,https://www.uniongaragedoorservices.com/contact,2026-09-20
Big Haul,Seattle,King,https://www.bighaul.com/,contact@bighaul.com,447-244-4285,"Local junk-removal operator exposes photo, availability and phone intake paths; opportunity to consolidate inquiry capture and automate follow-up.",junk removal/dumpster rental,CUSTOMER_SERVICE,qualified,not_contacted,https://www.bighaul.com/,2026-09-20
Seattle Dent & Detail,Seattle,King,https://seattledentanddetail.com/,,(425) 671-1319,"Mobile detailing across the Seattle-Tacoma metro routes prospects through call/text service intake; opportunity for automated missed-call and inquiry follow-up.",mobile/independent auto detailing,BRIDGE,qualified,not_contacted,https://seattledentanddetail.com/services/mobile-auto-detailing/,2026-09-20
Lake City Detailing,Seattle,King,https://lakecitydetailing.com/,,(206) 395-6337,"Mobile detailer uses phone/email/form intake and serves a broad Seattle-area footprint; opportunity to automate inquiry qualification and follow-up.",mobile/independent auto detailing,STAN,qualified,not_contacted,https://lakecitydetailing.com/contact,2026-09-20
Seattle Tree Service,Lynnwood,Snohomish,https://seattletreeservice.net/,seattletreeservice1948@gmail.com,206-363-9742,"Owner Mike Stanton publishes office/cell/text contacts and a conventional free-estimate form; opportunity for missed-call and estimate follow-up automation.",tree service/stump grinding,CUSTOMER_SERVICE,qualified,not_contacted,https://seattletreeservice.net/contact-us/,2026-09-20
Brisk Pressure Washing,Port Angeles,Clallam,https://briskpressurewashing.com/,Briskpressurewashing@gmail.com,(360) 461-0791,"Olympic Peninsula operator promises same-day quote responses through a separate quote form; measurable opportunity to automate quote response and follow-up.",pressure washing/exterior cleaning,BRIDGE,qualified,not_contacted,https://briskpressurewashing.com/contact/,2026-09-20
RAV Garage Door Repair LLC,Kennewick,Benton,https://ravgaragedoors.com/,vravgaragedoor@gmail.com,(509) 572-7861,"Independent garage-door repair and installation operator publishes emergency-service phone/email intake; opportunity for automated missed-call and lead follow-up.",independent garage-door repair/installation,STAN,qualified,not_contacted,https://ravgaragedoors.com/,2026-09-20
Golden Detail,Pierce County,Pierce,https://www.goldendetailwa.com/,goldendetailwa@gmail.com,253-561-5117,"100% mobile Pierce County detailer supports online and phone booking with text reminders; opportunity to recover abandoned booking inquiries and automate follow-up.",mobile/independent auto detailing,CUSTOMER_SERVICE,qualified,not_contacted,https://www.goldendetailwa.com/,2026-09-20
Anker Junk Removal,Vancouver,Clark,https://ankerjunk.com/,,(360) 702-7327,"Clark County operator accepts calls, texted photos, email and online booking with different pricing paths; opportunity to unify lead capture and automate quote follow-up.",junk removal/dumpster rental,BRIDGE,qualified,not_contacted,https://ankerjunk.com/contact/,2026-09-20
Pacific Northwest Tree Service,Yelm,Thurston,https://pnwtreeservices.com/,info@pnwtreeservices.com,(360) 789-3703,"Local tree service routes free estimates through phone/email/contact form and provides 24-hour emergency service; opportunity for automated estimate and missed-call follow-up.",tree service/stump grinding,STAN,qualified,not_contacted,https://pnwtreeservices.com/,2026-09-20
U Junk It We Dump It,Seattle,King,https://www.ujunkitwedumpit.info/,ujunkitseattle@gmail.com,(206) 673-6122,"Public scheduling form currently displays an error while the business also accepts call/text/email; concrete lead-capture failure and follow-up automation opportunity.",junk removal/dumpster rental,CUSTOMER_SERVICE,qualified,not_contacted,https://www.ujunkitwedumpit.info/contact-us,2026-09-20
