business_name,city,county,website,email,phone,observed_problem_evidence,niche,experiment_arm,qualification_status,contact_status,source,date_added
Galaxy Garage Doors,Seattle,King,https://www.galaxydoorswa.com/,galaxymarketingwa@gmail.com,(206) 550-5213,"100% locally owned; quote flow asks prospects to submit issue details and promises same-day service, creating an opportunity for automated quote and missed-call follow-up.",independent garage-door repair/installation,STAN,qualified,not_contacted,https://www.galaxydoorswa.com/,2026-09-20
Preston Doors & Gates LLC,Preston,King,https://www.prestondoors.com/,office@prestondoors.com,425-526-9201,"Locally owned; booking is driven through phone/request-a-bid paths, creating an opportunity for automated inquiry follow-up.",independent garage-door repair/installation,CUSTOMER_SERVICE,qualified,not_contacted,https://www.prestondoors.com/,2026-09-20
Evergreen Garage Door Inc,Auburn,King,https://www.evergreengaragedoorswa.com/,evergreengdoors@gmail.com,(253) 335-6506,"Family-owned residential garage-door company using request-service and phone estimate paths; opportunity to automate inquiry follow-up.",independent garage-door repair/installation,BRIDGE,qualified,not_contacted,https://www.evergreengaragedoorswa.com/,2026-09-20
Edmonds Garage Door Co,Edmonds,Snohomish,https://www.edmondsgaragedoorco.com/,mark@edmondsgaragedoorco.com,(425) 321-1978,"Locally owned by Edmonds residents; call/text/email intake and same-day service create a missed-call and follow-up automation opportunity.",independent garage-door repair/installation,STAN,qualified,not_contacted,https://www.edmondsgaragedoorco.com/contact,2026-09-20
Heston Door Service,Monroe,Snohomish,https://hestondoorservice.com/,INFO@HESTONDOORSERVICE.COM,(206) 550-3853,"Public contact path exposes direct phone/email for repair and installation; opportunity to automate inquiry capture and follow-up.",independent garage-door repair/installation,CUSTOMER_SERVICE,qualified,not_contacted,https://hestondoorservice.com/,2026-09-20
CHS Garage Door Repair of Seattle,Seattle,King,https://chsgaragerepair.com/,,(206) 245-5495,"Family-owned local operator; service-call form promises response within one business hour, creating a measurable response-time automation opportunity.",independent garage-door repair/installation,BRIDGE,qualified,not_contacted,https://chsgaragerepair.com/contact-us/,2026-09-20
Garage Gecko,Spokane,Spokane,,,(509) 236-0229,"Locally owned family-operated garage-door repair and installation company with 24-hour public availability; opportunity for missed-call and lead-response automation.",independent garage-door repair/installation,STAN,qualified,not_contacted,Google business listing,2026-09-20
X-Cut Mobile Detailing,Renton,King,https://www.xcutmobiledetailing.com/,alex@xcutmobiledetailing.com,(425) 287-8502,"Mobile detailer serving King County with online booking plus direct phone/email; opportunity to automate abandoned inquiries and follow-up.",mobile/independent auto detailing,CUSTOMER_SERVICE,qualified,not_contacted,https://www.xcutmobiledetailing.com/blog,2026-09-20
Obsessive Mobile Detailing,Bonney Lake,Pierce,https://obsessivedetailings.com/,Chace@obsessivedetailings.com,(253) 799-1523,"Mobile detailing operator publishes 24-hour availability and direct phone/email; opportunity for automated inquiry qualification and follow-up.",mobile/independent auto detailing,BRIDGE,qualified,not_contacted,https://obsessivedetailings.com/terms-conditions/,2026-09-20
ATW Detailing,Bonney Lake,Pierce,https://atwdetailing.com/,atwcardetailing@gmail.com,(253) 386-7243,"Mobile-only business exposes text, call, booking, calculator, email and form paths; opportunity to consolidate lead capture and automate follow-up.",mobile/independent auto detailing,STAN,qualified,not_contacted,https://atwdetailing.com/contact-us/,2026-09-20
WalshMe Detail,Renton,King,https://www.walshmedetail.com/,info@WalshMeDetail.com,(253) 709-8725,"Local family-run mobile detailing business with direct phone/email intake; opportunity for automated inquiry and missed-call follow-up.",mobile/independent auto detailing,CUSTOMER_SERVICE,qualified,not_contacted,https://goodviser.com/walshme-detail,2026-09-20
